Age,qx,qi,qs,lx,ex
0,0.000354525,NA,NA,1000000,83.23
1,0.000225608,NA,NA,999645,82.2
2,0.000195335,NA,NA,999420,81.2
3,0.00018014,NA,NA,999225,80.2
4,0.000171113,NA,NA,999045,79.3
5,0.000165497,NA,NA,998874,78.3
6,0.000162164,NA,NA,998708,77.3
7,0.000160832,NA,NA,998547,76.3
8,0.000162156,NA,NA,998386,75.3
9,0.000167626,NA,NA,998224,74.3
10,0.000179138,NA,NA,998057,73.3
11,0.000197967,NA,NA,997878,72.4
12,0.000224059,NA,NA,997680,71.4
13,0.000255538,NA,NA,997457,70.4
14,0.000289817,NA,NA,997202,69.4
15,0.000323807,NA,NA,996913,68.4
16,0.000354625,NA,NA,996590,67.4
17,0.000380407,NA,NA,996237,66.5
18,0.000400263,NA,NA,995858,65.5
19,0.000414175,0.000287757,0.000553379,995459,64.5
20,0.000422902,0.000309383,0.000535148,995047,63.5
21,0.000427545,0.000322236,0.000534774,994626,62.6
22,0.000429504,0.000329306,0.000532877,994201,61.6
23,0.000430301,0.000338928,0.000527222,993774,60.6
24,0.000431144,0.000344578,0.000526712,993346,59.7
25,0.000433212,0.000350301,0.000523177,992918,58.7
26,0.000437419,0.00035533,0.000524535,992488,57.7
27,0.000444526,0.00036569,0.000528661,992054,56.7
28,0.000455108,0.000374028,0.000540263,991613,55.8
29,0.000469574,0.000388162,0.00054778,991161,54.8
30,0.000488241,0.00040806,0.000573395,990696,53.8
31,0.000511264,0.000428384,0.000596311,990212,52.8
32,0.000539028,0.000454938,0.000625623,989706,51.9
33,0.000571651,0.000490225,0.00065802,989172,50.9
34,0.000609361,0.000524322,0.000694809,988607,49.9
35,0.00065248,0.000563614,0.000751486,988005,48.9
36,0.000701221,0.000604886,0.000799793,987360,48
37,0.000755949,0.00065615,0.00086098,986668,47
38,0.000817089,0.000714781,0.000924161,985922,46
39,0.00088509,0.000772514,0.000997518,985116,45.1
40,0.000960421,0.000844519,0.001081918,984244,44.1
41,0.001043738,0.000917941,0.001175609,983299,43.2
42,0.001135621,0.001006207,0.001271216,982273,42.2
43,0.001236871,0.001092605,0.001384813,981157,41.3
44,0.001348346,0.001199569,0.001497303,979944,40.3
45,0.001470888,0.001315865,0.001627286,978622,39.4
46,0.001605664,0.00144431,0.001782056,977183,38.4
