Age,qx,qi,qs,lx,ex
0,0.000370798,NA,NA,1000000,78.3
1,0.000242085,NA,NA,999629,77.4
2,0.00021292,NA,NA,999387,76.4
3,0.000199113,NA,NA,999174,75.4
4,0.000191619,NA,NA,998975,74.4
5,0.00018767,NA,NA,998784,73.4
6,0.000186193,NA,NA,998597,72.4
7,0.00018667,NA,NA,998411,71.5
8,0.000189483,NA,NA,998224,70.5
9,0.000196101,NA,NA,998035,69.5
10,0.000209156,NA,NA,997839,68.5
11,0.000232563,NA,NA,997631,67.5
12,0.000269966,NA,NA,997399,66.5
13,0.000323633,NA,NA,997129,65.5
14,0.000393528,NA,NA,996807,64.6
15,0.00047635,NA,NA,996414,63.6
16,0.00056781,NA,NA,995940,62.6
17,0.00066154,NA,NA,995374,61.7
18,0.000751594,NA,NA,994716,60.7
19,0.000832887,0.000671231,0.00099193,993968,59.7
20,0.000902071,0.000761414,0.001041346,993140,58.8
21,0.000956995,0.000824263,0.001092946,992244,57.8
22,0.000997622,0.000870966,0.001125495,991295,56.9
23,0.001024877,0.000904536,0.001145027,990306,56
24,0.001040384,0.000926147,0.001161094,989291,55
25,0.001047205,0.000936298,0.001164965,988262,54.1
26,0.001048131,0.000936458,0.001157576,987227,53.1
27,0.001045751,0.000941065,0.001154188,986192,52.2
28,0.001042825,0.000938454,0.001149073,985161,51.2
29,0.001041784,0.00093622,0.001146286,984133,50.3
30,0.001044681,0.000947336,0.001151065,983108,49.3
31,0.001053336,0.000957323,0.001160848,982081,48.4
32,0.001069113,0.000971117,0.001172295,981047,47.4
33,0.001093142,0.000992044,0.001199854,979998,46.5
34,0.001126379,0.001019668,0.001234072,978927,45.5
35,0.001169865,0.001060004,0.001278091,977824,44.6
36,0.001223966,0.001113411,0.001338184,976680,43.6
37,0.001289608,0.001172976,0.001410299,975485,42.7
38,0.001367243,0.001250608,0.001499585,974227,41.8
39,0.001457573,0.001329867,0.001590449,972895,40.8
40,0.00156121,0.001426016,0.001701212,971477,39.9
41,0.001679002,0.001537776,0.001827125,969960,38.9
42,0.001811727,0.001665296,0.001970824,968331,38
43,0.00196048,0.001801057,0.002124765,966577,37.1
44,0.00212633,0.001956396,0.002290673,964682,36.1
45,0.002310743,0.002136714,0.002491727,962631,35.2
46,0.002514886,0.002330434,0.002709129,960406,34.3
