Age,qx,qi,qs,lx,ex
0,0.000292602,0,0.000957625,1000000,86.5
1,0.000192112,0,0.000650477,999707,85.5
2,0.000154556,0,0.000601323,999515,84.5
3,0.000134201,0,0.000510725,999361,83.5
4,0.000121434,0,0.000466128,999227,82.5
5,0.000113186,0,0.000432963,999105,81.5
6,0.000108768,0,0.000404476,998992,80.6
7,0.000108979,0,0.000375657,998884,79.6
8,0.000114891,0,0.000348513,998775,78.6
9,0.000127123,0,0.000440626,998660,77.6
10,0.000145443,0,0.000429784,998533,76.6
11,0.000168484,0,0.000429507,998388,75.6
12,0.000194344,0,0.000554385,998220,74.6
13,0.000220953,0,0.000586786,998026,73.6
14,0.000246534,0,0.000610128,997805,72.6
15,0.000269445,0,0.000721848,997559,71.7
16,0.000288774,0,0.00065739,997290,70.7
17,0.000304135,0,0.000642025,997002,69.7
18,0.000315608,7.47E-05,0.000672244,996699,68.7
19,0.000323459,6.12E-05,0.000612257,996385,67.7
20,0.000328338,0.000102015,0.000612089,996062,66.8
21,0.000330899,0.000130782,0.00056672,995735,65.8
22,0.000331911,0.000152584,0.000572192,995406,64.8
23,0.00033198,0.00013412,0.000536481,995075,63.8
24,0.000331858,0.000147007,0.000529225,994745,62.9
25,0.000332095,0.000154675,0.000515584,994415,61.9
26,0.000333313,0.000181057,0.000520539,994085,60.9
27,0.00033591,0.000180737,0.000502048,993753,59.9
28,0.000340326,0.000198962,0.000506448,993420,58.9
29,0.000346845,0.000214511,0.000511526,993081,58
30,0.000355956,0.00021361,0.000518767,992737,57
31,0.00036765,0.000241924,0.00051231,992384,56
32,0.000382341,0.0002531,0.000532843,992019,55
33,0.000400349,0.0002644,0.000541391,991639,54
34,0.000421797,0.00027935,0.000570846,991242,53.1
35,0.000446906,0.000297786,0.000595571,990824,52.1
36,0.000476017,0.000333842,0.000631915,990382,51.1
37,0.000509428,0.000353689,0.000670789,989910,50.1
38,0.000547446,0.000379987,0.000721976,989406,49.2
39,0.000590253,0.000421974,0.000778015,988864,48.2
40,0.000638368,0.000467155,0.000824391,988281,47.2
41,0.000692398,0.00051455,0.000900463,987650,46.2
42,0.000752534,0.000546109,0.000959381,986966,45.3
43,0.000819449,0.000605354,0.001044236,986223,44.3
44,0.000893607,0.000664062,0.001142804,985415,43.3
45,0.000975921,0.000739424,0.001227129,984534,42.4
46,0.001066998,0.000813657,0.001324186,983573,41.4
47,0.001167496,0.000905168,0.001454734,982524,40.5
48,0.00127859,0.000997563,0.001569936,981377,39.5
49,0.001401006,0.001105009,0.001715238,980122,38.6
50,0.001536285,0.001228889,0.001876547,978749,37.6
51,0.001685426,0.001360933,0.002032998,977245,36.7
52,0.001849498,0.001506076,0.002190656,975598,35.7
53,0.002030535,0.001673272,0.002395861,973794,34.8
54,0.00223004,0.001832744,0.002620824,971817,33.9
55,0.002449387,0.002015471,0.002879245,969649,32.9
56,0.002691045,0.00223858,0.003146113,967274,32
