Age,qx,qi,qs,lx,ex
0,0.000352673,0,0.001088139,1000000,81.1
1,0.000226386,0,0.00078911,999647,80.1
2,0.00019635,0,0.00055208,999421,79.1
3,0.000181387,0,0.000632411,999225,78.1
4,0.000172686,0,0.000581903,999044,77.1
5,0.000167376,0,0.000544959,998871,76.1
6,0.000164163,0,0.000513479,998704,75.2
7,0.000162911,0,0.000478641,998540,74.2
8,0.000163382,0,0.000444593,998377,73.2
9,0.00016632,0,0.000422297,998214,72.2
10,0.000173168,0,0.000412456,998048,71.2
11,0.000186204,0,0.000515092,997875,70.2
12,0.0002097,0,0.000529661,997689,69.2
13,0.000248676,0,0.000665853,997480,68.2
14,0.000305771,0,0.000796994,997232,67.3
15,0.000379317,0,0.000881931,996927,66.3
16,0.000464805,9.83E-05,0.000982704,996549,65.3
17,0.000557002,0.00015706,0.001020889,996086,64.3
18,0.000646159,0.000244051,0.001098231,995531,63.4
19,0.000726551,0.000383748,0.001151245,994888,62.4
20,0.000793179,0.000462623,0.001197605,994165,61.5
21,0.000843712,0.000513891,0.001220491,993376,60.5
22,0.000876502,0.000583495,0.001222562,992538,59.6
23,0.000892245,0.000586439,0.001221747,991668,58.6
24,0.000895003,0.000628413,0.001213487,990784,57.7
25,0.000886463,0.000618549,0.001179109,989897,56.7
26,0.000869784,0.000623485,0.001143055,989019,55.8
27,0.000849827,0.000626498,0.001096371,988159,54.8
28,0.000828435,0.000616081,0.001060233,987319,53.9
29,0.000809195,0.000596303,0.001033592,986501,52.9
30,0.000794294,0.000607564,0.00100434,985703,51.9
31,0.000785832,0.000584542,0.000993722,984920,51
32,0.00078445,0.00059716,0.000984208,984146,50
33,0.000791074,0.000602537,0.000983087,983374,49.1
34,0.000806779,0.000626599,0.000996395,982596,48.1
35,0.000831258,0.000648121,0.001022816,981803,47.1
36,0.000865077,0.000681573,0.001068137,980987,46.2
37,0.000909082,0.000718585,0.001104174,980139,45.2
38,0.00096297,0.000766308,0.001176445,979248,44.3
39,0.001026754,0.000818376,0.001244381,978305,43.3
40,0.001101866,0.000884513,0.001338408,977300,42.4
41,0.001187404,0.000951612,0.001433441,976223,41.4
42,0.001284769,0.001040557,0.001548448,975064,40.4
43,0.001394027,0.001139125,0.00165806,973811,39.5
44,0.001516026,0.001249839,0.001803891,972454,38.6
45,0.001651419,0.001376399,0.001966285,970980,37.6
46,0.001801814,0.001501202,0.002125596,969376,36.7
47,0.001968329,0.001655295,0.002301264,967630,35.7
48,0.002152522,0.001810904,0.002491694,965725,34.8
49,0.002356289,0.001993703,0.002708686,963646,33.9
50,0.002580319,0.002192891,0.002970118,961376,33
51,0.00282753,0.002423047,0.003240121,958895,32.1
52,0.003099654,0.002696117,0.003517929,956184,31.1
53,0.003399582,0.002952316,0.003846957,953220,30.2
54,0.003729461,0.003258446,0.004209866,949979,29.3
55,0.004092334,0.003582992,0.004618444,946436,28.5
56,0.004491537,0.003915563,0.005064128,942563,27.6
57,0.004930358,0.004351353,0.005531381,938330,26.7
58,0.005413648,0.004789272,0.006059895,933703,25.8
59,0.005945033,0.005281362,0.006669014,928649,25
60,0.006529601,0.005771974,0.007264348,923128,24.1
61,0.007172216,0.006334715,0.008012134,917100,23.3
62,0.007878885,0.007027389,0.008740781,910522,22.4
63,0.008656363,0.00771174,0.009600452,903349,21.6
64,0.009511558,0.008486278,0.010528738,895529,20.8
65,0.01045195,0.009310637,0.01159911,887011,20
66,0.011485939,0.010250413,0.01276142,877740,19.2
67,0.012623756,0.011231281,0.013954016,867658,18.4
68,0.013873484,0.012370361,0.015369237,856705,17.7
69,0.015249678,0.013613522,0.016994061,844820,16.9
70,0.016763552,0.014939542,0.018586989,831936,16.2
71,0.018430056,0.016488899,0.020407053,817990,15.5
72,0.020263988,0.018180333,0.022400475,802915,14.8
73,0.02228232,0.019953506,0.024602867,786644,14.1
74,0.024504775,0.022007104,0.027160666,769116,13.4
75,0.026950655,0.024186324,0.029710361,750269,12.7
76,0.029635836,0.026552222,0.032568587,730049,12.1
77,0.032597169,0.029335857,0.035962233,708413,11.4
78,0.035857008,0.032290802,0.039579297,685321,10.8
79,0.039444646,0.035650269,0.043318064,660747,10.2
80,0.043396133,0.039112859,0.047634655,634684,9.7
81,0.047743974,0.043199419,0.052516941,607142,9.1
82,0.05253481,0.047361299,0.058051421,578154,8.5
83,0.057814845,0.052031036,0.063441351,547781,8
84,0.063624141,0.057433362,0.070163371,516111,7.5
85,0.070028391,0.062902911,0.077358859,483274,7
